n_users	n_items	n_inter	sparsity	kg_entities	kg_relations	kg_triples	kg_items	cpu_cores	ram_size	is_gpu	model_name	model_type	emissions
19841	42457	900212	0.998931359	50665	5	46827	816701	4	27.40580368	1	BPR	general	0.021676469
19841	42457	900212	0.998931359	50665	5	46827	816701	4	27.40580368	1	CFKG	knowledge	0.006218814
19841	42457	900212	0.998931359	50665	5	46827	816701	4	27.40580368	1	CKE	knowledge	0.015477113
19841	42457	900212	0.998931359	50665	5	46827	816701	4	27.40580368	1	DMF	general	0.010877932
19841	42457	900212	0.998931359	50665	5	46827	816701	4	27.40580368	1	ItemKNN	general	0.00665498
19841	42457	900212	0.998931359	50665	5	46827	816701	4	27.40580368	1	KGCN	knowledge	0.027670321
19841	42457	900212	0.998931359	50665	5	46827	816701	4	27.40580368	1	KGNNLS	knowledge	0.028289434
19841	42457	900212	0.998931359	50665	5	46827	816701	4	27.40580368	1	LINE	general	0.007083591
19841	42457	900212	0.998931359	50665	5	46827	816701	4	27.40580368	1	LightGCN	general	0.085391403
19841	42457	900212	0.998931359	50665	5	46827	816701	4	27.40580368	1	MultiDAE	general	0.032720865
19841	42457	900212	0.998931359	50665	5	46827	816701	4	27.40580368	1	NGCF	general	0.049383483
19841	42457	900212	0.998931359	50665	5	46827	816701	4	27.40580368	1	RippleNet	knowledge	0.021933298
19841	24878	218457	0.999557425	32907	5	29822	816701	4	27.40580368	1	BPR	general	0.003723659
19841	24878	218457	0.999557425	32907	5	29822	816701	4	27.40580368	1	CFKG	knowledge	0.003045751
19841	24878	218457	0.999557425	32907	5	29822	816701	4	27.40580368	1	CKE	knowledge	0.004566715
19841	24878	218457	0.999557425	32907	5	29822	816701	4	27.40580368	1	DGCF	general	0.039491628
19841	24878	218457	0.999557425	32907	5	29822	816701	4	27.40580368	1	DMF	general	0.00478892
19841	24878	218457	0.999557425	32907	5	29822	816701	4	27.40580368	1	ItemKNN	general	0.001891625
19841	24878	218457	0.999557425	32907	5	29822	816701	4	27.40580368	1	KGCN	knowledge	0.009933379
19841	24878	218457	0.999557425	32907	5	29822	816701	4	27.40580368	1	KGNNLS	knowledge	0.010184396
19841	24878	218457	0.999557425	32907	5	29822	816701	4	27.40580368	1	LINE	general	0.003221042
19841	24878	218457	0.999557425	32907	5	29822	816701	4	27.40580368	1	LightGCN	general	0.016660569
19841	24878	218457	0.999557425	32907	5	29822	816701	4	27.40580368	1	MultiDAE	general	0.008646036
19841	24878	218457	0.999557425	32907	5	29822	816701	4	27.40580368	1	NGCF	general	0.012209592
19841	24878	218457	0.999557425	32907	5	29822	816701	4	27.40580368	1	RippleNet	knowledge	0.004553451
19841	33653	440620	0.999340102	42031	5	38491	816701	4	27.40580368	1	BPR	general	0.015496435
19841	33653	440620	0.999340102	42031	5	38491	816701	4	27.40580368	1	CFKG	knowledge	0.004977961
19841	33653	440620	0.999340102	42031	5	38491	816701	4	27.40580368	1	CKE	knowledge	0.010874498
19841	33653	440620	0.999340102	42031	5	38491	816701	4	27.40580368	1	DMF	general	0.011751596
19841	33653	440620	0.999340102	42031	5	38491	816701	4	27.40580368	1	ItemKNN	general	0.003821806
19841	33653	440620	0.999340102	42031	5	38491	816701	4	27.40580368	1	KGCN	knowledge	0.022156498
19841	33653	440620	0.999340102	42031	5	38491	816701	4	27.40580368	1	KGNNLS	knowledge	0.023048707
19841	33653	440620	0.999340102	42031	5	38491	816701	4	27.40580368	1	LINE	general	0.004752256
19841	33653	440620	0.999340102	42031	5	38491	816701	4	27.40580368	1	LightGCN	general	0.027782759
19841	33653	440620	0.999340102	42031	5	38491	816701	4	27.40580368	1	MultiDAE	general	0.016600829
19841	33653	440620	0.999340102	42031	5	38491	816701	4	27.40580368	1	NGCF	general	0.02420773
19841	33653	440620	0.999340102	42031	5	38491	816701	4	27.40580368	1	RippleNet	knowledge	0.007599551
19841	38932	667850	0.999135413	47308	5	43559	816701	4	27.40580368	1	BPR	general	0.018433466
19841	38932	667850	0.999135413	47308	5	43559	816701	4	27.40580368	1	CFKG	knowledge	0.010765962
19841	38932	667850	0.999135413	47308	5	43559	816701	4	27.40580368	1	CKE	knowledge	0.017454995
19841	38932	667850	0.999135413	47308	5	43559	816701	4	27.40580368	1	DMF	general	0.009561266
19841	38932	667850	0.999135413	47308	5	43559	816701	4	27.40580368	1	ItemKNN	general	0.005500648
19841	38932	667850	0.999135413	47308	5	43559	816701	4	27.40580368	1	KGCN	knowledge	0.019123606
19841	38932	667850	0.999135413	47308	5	43559	816701	4	27.40580368	1	KGNNLS	knowledge	0.019501456
19841	38932	667850	0.999135413	47308	5	43559	816701	4	27.40580368	1	LINE	general	0.007371074
19841	38932	667850	0.999135413	47308	5	43559	816701	4	27.40580368	1	LightGCN	general	0.048226343
19841	38932	667850	0.999135413	47308	5	43559	816701	4	27.40580368	1	MultiDAE	general	0.026008
19841	38932	667850	0.999135413	47308	5	43559	816701	4	27.40580368	1	NGCF	general	0.028634034
